,Product_name_Flipkart,Flipkart_price,Product_name_Amazon,Amazon_price
28,ASUS EeeBook 12 Celeron Dual Core - (4 GB/64 GB EMMC Storage/Windows 11 Home) E210MA-GJ011W Thin and Light Laptop,"21,990","ASUS EEEBOOK 12 CELERON DUAL INTEL CORE - (4 GB/64 GB EMMC STORAGE/WINDOWS 10 HOME) E210MA-GJ012T THIN AND LIGHT LAPTOP (11.6 INCHES, PEACOCK BLUE, 1.05 KG)","18,150"
29,Infinix INBook X1 Neo Series Celeron Quad Core - (4 GB/128 GB SSD/Windows 11 Home) XL22 Thin and Light Laptop,"22,990","INFINIX INBOOK INTEL X1 CORE I5 10TH GEN - (8 GB/512 GB SSD/WINDOWS 11 HOME) XL11 THIN AND LIGHT LAPTOP (14 INCHES, AURORA GREEN, 1.48 KG)","27,900"
30,ASUS Chromebook Flip Touch Celeron Dual Core - (4 GB/64 GB EMMC Storage/Chrome OS) C423NA-BZ0522 Chromebook,"20,990","ASUS CHROMEBOOK FLIP INTEL CELERON DUAL CORE - (11.6 INCHES, 4 GB/64 GB EMMC STORAGE/CHROME OS) C214MA-BU0452 2 IN 1 LAPTOP (DARK GREY, 1.20 KG)","19,950"
31,ASUS VivoBook 15 Ryzen 3 Dual Core AMD R3-3250U - (4 GB/256 GB SSD/Windows 10 Home) M515DA-BQ312TS Thin and Light Laptop,"31,990","ASUS VIVOBOOK 15, 15.6-INCH (39.62 CMS) FHD, AMD RYZEN 5 3500U, THIN AND LIGHT LAPTOP (8GB/512GB SSD/INTEGRATED GRAPHICS/WINDOWS 11/OFFICE 2021/SILVER/1.8 KG), M515DA-BQ512WS, TRANSPARENT SILVER","40,528"
32,Lenovo IdeaPad 3 Celeron Dual Core - (4 GB/256 GB SSD/Windows 10 Home) 14IGL05 Thin and Light Laptop,"31,000","LENOVO IDEAPAD GAMING 3 AMD RYZEN 5 5600H 15.6"" (39.62CM) FHD IPS GAMING LAPTOP (8GB/512GB SSD/4GB NVIDIA GTX 1650/120HZ/WIN 11/BACKLIT KEYBOARD/3MONTHS GAME PASS/SHADOW BLACK/2.25KG), 82K201UEIN","60,110"
33,acer Aspire Pentium Quad Core - (4 GB/1 TB HDD/Linux) ES1-533 Laptop,"24,780","ACER ASPIRE 5 INTEL CORE I5 11TH GEN THIN & LIGHT LAPTOP- (8 GB/512 GB SSD/WINDOWS 11 HOME/INTEL IRIS XE GRAPHICS/PURE SILVER/1.45 KG/MS OFFICE),14-INCH (35.56 CMS) FULL HD IPS DISPLAY ,A514-54","44,990"
34,ASUS VivoBook 15 Core i3 10th Gen - (4 GB/1 TB HDD/Windows 10 Home) X515JA-BR381T Thin and Light Laptop,"33,990","ASUS VIVOBOOK 15, 15.6-INCH (39.62 CMS) FHD, AMD RYZEN 5 3500U, THIN AND LIGHT LAPTOP (8GB/512GB SSD/INTEGRATED GRAPHICS/WINDOWS 11/OFFICE 2021/SILVER/1.8 KG), M515DA-BQ512WS, TRANSPARENT SILVER","72,990"
35,DELL Inspiron Pentium Quad Core - (4 GB/256 GB SSD/Windows 11 Home) Inspiron 3000 Thin and Light Laptop,"35,500","DELL INSPIRON 3525 LAPTOP, AMD RYZEN 5-5625U, 8GB, 512GB SSD, WIN 11 + MSO'21, 15.6"" (39.62CMS) FHD WVA AG 120HZ 250 NITS, PLATINUM SILVER (D560789WIN9S, 1.68KGS)","37,100"
36,ASUS VivoBook Ultra 14 Core i3 10th Gen - (4 GB/512 GB SSD/Windows 10 Home) X413JA-EK267T||X413JA-EB302T Thin and Light Laptop,"38,990","ASUS VIVOBOOK 15, 15.6-INCH (39.62 CMS) FHD, AMD RYZEN 5 3500U, THIN AND LIGHT LAPTOP (8GB/512GB SSD/INTEGRATED GRAPHICS/WINDOWS 11/OFFICE 2021/SILVER/1.8 KG), M515DA-BQ512WS, TRANSPARENT SILVER","40,528"
37,Lenovo IdeaPad Flex 3 Chromebook Celeron Dual Core - (4 GB/128 GB EMMC Storage/Chrome OS) CB 11IJL6 Chromebook,"28,490","LENOVO IDEAPAD GAMING 3 AMD RYZEN 5 5600H 15.6"" (39.62CM) FHD IPS GAMING LAPTOP (8GB/512GB SSD/4GB NVIDIA GTX 1650/120HZ/WIN 11/BACKLIT KEYBOARD/3MONTHS GAME PASS/SHADOW BLACK/2.25KG), 82K201UEIN","80,990"
38,Lenovo IdeaPad 1 Celeron Dual Core - (4 GB/256 GB SSD/Windows 11 Home) 11IGL05 Thin and Light Laptop,"25,490","LENOVO IDEAPAD GAMING 3 AMD RYZEN 5 5600H 15.6"" (39.62CM) FHD IPS GAMING LAPTOP (8GB/512GB SSD/4GB NVIDIA GTX 1650/120HZ/WIN 11/BACKLIT KEYBOARD/3MONTHS GAME PASS/SHADOW BLACK/2.25KG), 82K201UEIN","80,990"
39,ASUS Chromebook Flip Celeron Dual Core - (4 GB/32 GB EMMC Storage/Chrome OS) C214MA-BU0704 Chromebook,"22,990","ASUS CHROMEBOOK FLIP INTEL CELERON DUAL CORE - (11.6 INCHES, 4 GB/64 GB EMMC STORAGE/CHROME OS) C214MA-BU0452 2 IN 1 LAPTOP (DARK GREY, 1.20 KG)","19,990"
